Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",11231.80,11958.50,11231.80,11403.70,"9,926,540,000","189,536,000,000"
"Feb 19, 2018",10552.60,11273.80,10513.20,11225.30,"7,652,090,000","178,055,000,000"
"Feb 18, 2018",11123.40,11349.80,10326.00,10551.80,"8,744,010,000","187,663,000,000"
"Feb 17, 2018",10207.50,11139.50,10149.40,11112.70,"8,660,880,000","172,191,000,000"
"Feb 16, 2018",10135.70,10324.10,9824.82,10233.90,"7,296,160,000","170,960,000,000"
"Feb 15, 2018",9488.32,10234.80,9395.58,10166.40,"9,062,540,000","160,025,000,000"
"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,"7,909,820,000","145,023,000,000"
"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,"5,696,720,000","150,516,000,000"
"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,"6,256,440,000","137,258,000,000"
"Feb 11, 2018",8616.13,8616.13,7931.10,8129.97,"6,122,190,000","145,245,000,000"
"Feb 10, 2018",8720.08,9122.55,8295.47,8621.90,"7,780,960,000","146,981,000,000"
"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,"6,784,820,000","139,412,000,000"
"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,"9,346,750,000","128,714,000,000"
"Feb 07, 2018",7755.49,8509.11,7236.79,7621.30,"9,169,280,000","130,683,000,000"
"Feb 06, 2018",7051.75,7850.70,6048.26,7754.00,"13,999,800,000","118,810,000,000"
"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,"9,285,290,000","139,325,000,000"
"Feb 04, 2018",9175.70,9334.87,8031.22,8277.01,"7,073,550,000","154,553,000,000"
"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,"7,263,790,000","149,085,000,000"
"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,"12,726,900,000","153,953,000,000"
"Feb 01, 2018",10237.30,10288.80,8812.28,9170.54,"9,959,400,000","172,372,000,000"
"Jan 31, 2018",10108.20,10381.60,9777.42,10221.10,"8,041,160,000","170,183,000,000"
"Jan 30, 2018",11306.80,11307.20,10036.20,10106.30,"8,637,860,000","190,339,000,000"
"Jan 29, 2018",11755.50,11875.60,11179.20,11296.40,"7,107,360,000","197,871,000,000"
"Jan 28, 2018",11475.30,12040.30,11475.30,11786.30,"8,350,360,000","193,133,000,000"
"Jan 27, 2018",11174.90,11614.90,10989.20,11440.70,"7,583,270,000","188,054,000,000"
"Jan 26, 2018",11256.00,11656.70,10470.30,11171.40,"9,746,200,000","189,398,000,000"
"Jan 25, 2018",11421.70,11785.70,11057.40,11259.40,"8,873,170,000","192,163,000,000"
"Jan 24, 2018",10903.40,11501.40,10639.80,11359.40,"9,940,990,000","183,419,000,000"
"Jan 23, 2018",10944.50,11377.60,10129.70,10868.40,"9,660,610,000","184,087,000,000"
"Jan 22, 2018",11633.10,11966.40,10240.20,10931.40,"10,537,400,000","195,645,000,000"
"Jan 21, 2018",12889.20,12895.90,11288.20,11600.10,"9,935,180,000","216,740,000,000"
"Jan 20, 2018",11656.20,13103.00,11656.20,12899.20,"11,801,700,000","195,979,000,000"
"Jan 19, 2018",11429.80,11992.80,11172.10,11607.40,"10,740,400,000","192,150,000,000"
"Jan 18, 2018",11198.80,12107.30,10942.50,11474.90,"15,020,400,000","188,242,000,000"
"Jan 17, 2018",11431.10,11678.00,9402.29,11188.60,"18,830,600,000","192,123,000,000"
"Jan 16, 2018",13836.10,13843.10,10194.90,11490.50,"18,853,800,000","232,517,000,000"
"Jan 15, 2018",13767.30,14445.50,13641.70,13819.80,"12,750,800,000","231,334,000,000"
"Jan 14, 2018",14370.80,14511.80,13268.00,13772.00,"11,084,100,000","241,447,000,000"
"Jan 13, 2018",13952.40,14659.50,13952.40,14360.20,"12,763,600,000","234,391,000,000"
"Jan 12, 2018",13453.90,14229.90,13158.10,13980.60,"12,065,700,000","225,986,000,000"
"Jan 11, 2018",14968.20,15018.80,13105.90,13405.80,"16,534,100,000","251,387,000,000"
"Jan 10, 2018",14588.50,14973.30,13691.20,14973.30,"18,500,800,000","244,981,000,000"
"Jan 09, 2018",15123.70,15497.50,14424.00,14595.40,"16,660,000,000","253,935,000,000"
"Jan 08, 2018",16476.20,16537.90,14208.20,15170.10,"18,413,900,000","276,612,000,000"
"Jan 07, 2018",17527.30,17579.60,16087.70,16477.60,"15,866,000,000","294,222,000,000"
"Jan 06, 2018",17462.10,17712.40,16764.60,17527.00,"18,314,600,000","293,091,000,000"
"Jan 05, 2018",15477.20,17705.20,15202.80,17429.50,"23,840,900,000","259,748,000,000"
"Jan 04, 2018",15270.70,15739.70,14522.20,15599.20,"21,783,200,000","256,250,000,000"
"Jan 03, 2018",14978.20,15572.80,14844.50,15201.00,"16,871,900,000","251,312,000,000"
"Jan 02, 2018",13625.00,15444.60,13163.60,14982.10,"16,846,600,000","228,579,000,000"
"Jan 01, 2018",14112.20,14112.20,13154.70,13657.20,"10,291,200,000","236,725,000,000"
"Dec 31, 2017",12897.70,14377.40,12755.60,14156.40,"12,136,300,000","216,326,000,000"
"Dec 30, 2017",14681.90,14681.90,12350.10,12952.20,"14,452,600,000","246,224,000,000"
"Dec 29, 2017",14695.80,15279.00,14307.00,14656.20,"13,025,500,000","246,428,000,000"
"Dec 28, 2017",15864.10,15888.40,13937.30,14606.50,"12,336,500,000","265,988,000,000"
"Dec 27, 2017",16163.50,16930.90,15114.30,15838.50,"12,487,600,000","270,976,000,000"
"Dec 26, 2017",14036.60,16461.20,14028.90,16099.80,"13,454,300,000","235,294,000,000"
"Dec 25, 2017",13995.90,14593.00,13448.90,14026.60,"10,664,700,000","234,590,000,000"
"Dec 24, 2017",14608.20,14626.00,12747.70,13925.80,"11,572,300,000","244,824,000,000"
"Dec 23, 2017",13948.70,15603.20,13828.80,14699.20,"13,086,000,000","233,748,000,000"
"Dec 22, 2017",15898.00,15943.40,11833.00,13831.80,"22,198,000,000","266,381,000,000"
"Dec 21, 2017",16642.40,17567.70,15342.70,15802.90,"16,516,600,000","278,827,000,000"
"Dec 20, 2017",17760.30,17934.70,16077.70,16624.60,"22,149,700,000","297,526,000,000"
"Dec 19, 2017",19118.30,19177.80,17275.40,17776.70,"16,894,500,000","320,242,000,000"
"Dec 18, 2017",19106.40,19371.00,18355.90,19114.20,"14,839,500,000","320,000,000,000"
"Dec 17, 2017",19475.80,20089.00,18974.10,19140.80,"13,314,600,000","326,141,000,000"
"Dec 16, 2017",17760.30,19716.70,17515.30,19497.40,"12,740,600,000","297,376,000,000"
"Dec 15, 2017",16601.30,18154.10,16601.30,17706.90,"14,310,000,000","277,936,000,000"
"Dec 14, 2017",16384.60,17085.80,16185.90,16564.00,"13,777,400,000","274,269,000,000"
"Dec 13, 2017",17500.00,17653.10,16039.70,16408.20,"12,976,900,000","292,900,000,000"
"Dec 12, 2017",16919.80,17781.80,16571.60,17415.40,"14,603,800,000","283,155,000,000"
"Dec 11, 2017",15427.40,17513.90,15404.80,16936.80,"12,153,900,000","258,147,000,000"
"Dec 10, 2017",15168.40,15850.60,13226.60,15455.40,"13,433,300,000","253,782,000,000"
"Dec 09, 2017",16523.30,16783.00,13674.90,15178.20,"13,911,300,000","276,415,000,000"
"Dec 08, 2017",17802.90,18353.40,14336.90,16569.40,"21,136,000,000","297,787,000,000"
"Dec 07, 2017",14266.10,17899.70,14057.30,17899.70,"17,950,700,000","238,600,000,000"
"Dec 06, 2017",11923.40,14369.10,11923.40,14291.50,"12,656,300,000","199,390,000,000"
"Dec 05, 2017",11685.70,12032.00,11604.60,11916.70,"6,895,260,000","195,389,000,000"
"Dec 04, 2017",11315.40,11657.20,11081.80,11657.20,"6,132,410,000","189,172,000,000"
"Dec 03, 2017",11082.70,11858.70,10862.00,11323.20,"6,608,310,000","185,258,000,000"
"Dec 02, 2017",10978.30,11320.20,10905.10,11074.60,"5,138,500,000","183,490,000,000"
"Dec 01, 2017",10198.60,11046.70,9694.65,10975.60,"6,783,120,000","170,436,000,000"
"Nov 30, 2017",9906.79,10801.00,9202.05,10233.60,"8,310,690,000","165,537,000,000"
"Nov 29, 2017",10077.40,11517.40,9601.03,9888.61,"11,568,800,000","168,367,000,000"
"Nov 28, 2017",9823.43,10125.70,9736.30,10058.80,"6,348,820,000","164,104,000,000"
"Nov 27, 2017",9352.72,9818.35,9352.72,9818.35,"5,653,320,000","156,221,000,000"
"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,"5,475,580,000","146,789,000,000"
"Nov 25, 2017",8241.71,8790.92,8191.15,8790.92,"4,342,060,000","137,632,000,000"
"Nov 24, 2017",8074.02,8374.16,7940.93,8253.69,"5,058,610,000","134,816,000,000"
"Nov 23, 2017",8232.38,8267.40,8038.77,8038.77,"4,225,180,000","137,444,000,000"
"Nov 22, 2017",8077.95,8302.26,8075.47,8253.55,"3,633,530,000","134,851,000,000"
"Nov 21, 2017",8205.74,8348.66,7762.71,8071.26,"4,277,610,000","136,967,000,000"
"Nov 20, 2017",8039.07,8336.86,7949.36,8200.64,"3,488,450,000","134,167,000,000"
"Nov 19, 2017",7766.03,8101.91,7694.10,8036.49,"3,149,320,000","129,595,000,000"
"Nov 18, 2017",7697.21,7884.99,7463.44,7790.15,"3,667,190,000","128,425,000,000"
"Nov 17, 2017",7853.57,8004.59,7561.09,7708.99,"4,651,670,000","131,026,000,000"
"Nov 16, 2017",7323.24,7967.38,7176.58,7871.69,"5,123,810,000","122,164,000,000"
"Nov 15, 2017",6634.76,7342.25,6634.76,7315.54,"4,200,880,000","110,667,000,000"
"Nov 14, 2017",6561.48,6764.98,6461.75,6635.75,"3,197,110,000","109,434,000,000"
"Nov 13, 2017",5938.25,6811.19,5844.29,6559.49,"6,263,250,000","99,029,000,000"
"Nov 12, 2017",6295.45,6625.05,5519.01,5950.07,"8,957,350,000","104,980,000,000"
"Nov 11, 2017",6618.61,6873.15,6204.22,6357.60,"4,908,680,000","110,362,000,000"
"Nov 10, 2017",7173.73,7312.00,6436.87,6618.14,"5,208,250,000","119,607,000,000"
"Nov 09, 2017",7446.83,7446.83,7101.52,7143.58,"3,226,250,000","124,146,000,000"
"Nov 08, 2017",7141.38,7776.42,7114.02,7459.69,"4,602,200,000","119,041,000,000"
"Nov 07, 2017",7023.10,7253.32,7023.10,7144.38,"2,326,340,000","117,056,000,000"
"Nov 06, 2017",7403.22,7445.77,7007.31,7022.76,"3,111,900,000","123,379,000,000"
"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,"2,380,410,000","123,388,000,000"
"Nov 04, 2017",7164.48,7492.86,7031.28,7379.95,"2,483,800,000","119,376,000,000"
"Nov 03, 2017",7087.53,7461.29,7002.94,7207.76,"3,369,860,000","118,084,000,000"
"Nov 02, 2017",6777.77,7367.33,6758.72,7078.50,"4,653,770,000","112,910,000,000"
"Nov 01, 2017",6440.97,6767.31,6377.88,6767.31,"2,870,320,000","107,287,000,000"
"Oct 31, 2017",6132.02,6470.43,6103.33,6468.40,"2,311,380,000","102,130,000,000"
"Oct 30, 2017",6114.85,6214.99,6040.85,6130.53,"1,772,150,000","101,833,000,000"
"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,"2,859,040,000","95,819,800,000"
"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,"1,403,920,000","96,369,600,000"
"Oct 27, 2017",5899.74,5988.39,5728.82,5780.90,"1,710,130,000","98,225,400,000"
"Oct 26, 2017",5747.95,5976.80,5721.22,5904.83,"1,905,040,000","95,685,100,000"
"Oct 25, 2017",5524.60,5754.33,5397.88,5750.80,"1,966,990,000","91,954,200,000"
"Oct 24, 2017",5935.52,5935.52,5504.18,5526.64,"2,735,700,000","98,781,600,000"
"Oct 23, 2017",6006.00,6075.59,5732.47,5930.32,"2,401,840,000","99,941,600,000"
"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,"2,034,630,000","100,438,000,000"
"Oct 21, 2017",5996.79,6194.88,5965.07,6031.60,"2,207,100,000","99,763,200,000"
"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,"2,354,430,000","94,947,900,000"
"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52,"1,780,540,000","92,867,000,000"
"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69,"2,399,270,000","93,190,200,000"
"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51,"1,821,570,000","95,469,300,000"
"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59,"2,008,070,000","94,559,000,000"
"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,"1,976,040,000","97,011,900,000"
"Oct 14, 2017",5643.53,5837.70,5591.64,5831.79,"1,669,030,000","93,803,000,000"
"Oct 13, 2017",5464.16,5840.30,5436.85,5647.21,"3,615,480,000","90,812,400,000"
"Oct 12, 2017",4829.58,5446.91,4822.00,5446.91,"2,791,610,000","80,256,700,000"
"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48,"1,222,280,000","79,578,200,000"
"Oct 10, 2017",4776.21,4922.17,4765.10,4781.99,"1,597,140,000","79,351,800,000"
"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02,"1,968,740,000","76,656,500,000"
"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,"1,313,870,000","73,575,400,000"
"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89,"906,928,000","72,565,100,000"
"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81,"1,069,940,000","71,810,600,000"
"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41,"1,161,770,000","70,233,700,000"
"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36,"1,116,770,000","71,712,500,000"
"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48,"1,288,020,000","73,181,300,000"
"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32,"1,431,730,000","72,963,200,000"
"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,"1,208,210,000","72,047,300,000"
"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71,"1,207,450,000","69,136,600,000"
"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07,"1,367,050,000","69,219,200,000"
"Sep 28, 2017",4197.13,4279.31,4109.70,4174.73,"1,712,320,000","69,633,200,000"
"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67,"1,686,880,000","64,579,200,000"
"Sep 26, 2017",3928.41,3969.89,3869.90,3892.35,"1,043,740,000","65,161,000,000"
"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07,"1,374,210,000","61,061,100,000"
"Sep 24, 2017",3796.15,3796.15,3666.90,3682.84,"768,015,000","62,954,300,000"
"Sep 23, 2017",3629.92,3819.21,3594.58,3792.40,"928,114,000","60,190,000,000"
"Sep 22, 2017",3628.02,3758.27,3553.53,3630.70,"1,194,830,000","60,152,300,000"
"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04,"1,411,480,000","64,677,600,000"
"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95,"1,213,830,000","64,918,500,000"
"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97,"1,563,980,000","67,520,300,000"
"Sep 18, 2017",3591.09,4079.23,3591.09,4065.20,"1,943,210,000","59,514,100,000"
"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,"1,239,150,000","59,757,800,000"
"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04,"1,818,400,000","60,271,600,000"
"Sep 15, 2017",3166.30,3733.45,2946.62,3637.52,"4,148,070,000","52,453,500,000"
"Sep 14, 2017",3875.37,3920.60,3153.86,3154.95,"2,716,310,000","64,191,600,000"
"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59,"2,219,410,000","68,432,200,000"
"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81,"1,864,530,000","69,033,400,000"
"Sep 11, 2017",4122.47,4261.67,4099.40,4161.27,"1,557,330,000","68,256,000,000"
"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94,"1,679,090,000","70,018,100,000"
"Sep 09, 2017",4229.81,4308.82,4114.11,4226.06,"1,386,230,000","70,017,200,000"
"Sep 08, 2017",4605.16,4661.00,4075.18,4228.75,"2,700,890,000","76,220,200,000"
"Sep 07, 2017",4589.14,4655.04,4491.33,4599.88,"1,844,620,000","75,945,000,000"
"Sep 06, 2017",4376.59,4617.25,4376.59,4597.12,"2,172,100,000","72,418,700,000"
"Sep 05, 2017",4228.29,4427.84,3998.11,4376.53,"2,697,970,000","69,954,400,000"
"Sep 04, 2017",4591.63,4591.63,4108.40,4236.31,"2,987,330,000","75,955,500,000"
"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96,"1,933,190,000","75,841,700,000"
"Sep 02, 2017",4901.42,4975.04,4469.24,4578.77,"2,722,140,000","81,060,600,000"
"Sep 01, 2017",4701.76,4892.01,4678.53,4892.01,"2,599,080,000","77,748,400,000"
"Aug 31, 2017",4555.59,4736.05,4549.40,4703.39,"1,944,930,000","75,322,300,000"
"Aug 30, 2017",4570.36,4626.52,4471.41,4565.30,"1,937,850,000","75,556,600,000"
